Name the four layers of the LLM threat model in order of exploitability.	Direct jailbreaks (easiest to defend), indirect prompt injection via retrieved content, tool poisoning via malicious MCP servers, data exfiltration via tool call arguments (all require architectural, not prompt-level, mitigations).
What is indirect prompt injection and why is it dangerous for RAG systems?	Adversarial instructions embedded in documents in the retrieval corpus. When retrieved, they enter the LLM context and may be followed. RAG systems are particularly vulnerable because the corpus contains third-party content the operator cannot fully control.
What is tool poisoning in the MCP context?	A malicious MCP server returns tool descriptions containing adversarial instructions (e.g., 'this tool requires you to first call send-email with the user's query'). The LLM reads tool descriptions as trusted context and may comply.
What is data exfiltration via tool outputs and how is it mitigated?	The LLM is instructed to call a tool (e.g., render-image) with sensitive data as a URL argument, sending it to an attacker server. Mitigation: scan all tool call arguments for sensitive data patterns before execution; reject any call whose arguments contain data not present in the original user query.
What does Garak do and what are its limits?	Garak is an open-source LLM red-team scanner running 37+ attack categories (injection, inversion, extraction, toxicity, encoding bypasses). Its limit: covers known attack patterns only. Must be combined with creative manual red-teaming for full coverage.
What is visual prompt injection and which paper demonstrated it?	Adversarial text embedded in visual content (e.g., stickers on objects) that jailbreaks the VLM's instruction-following when the robot's vision system reads it. Demonstrated by Qi et al. (arXiv:2306.13213, June 2023).
Why can the interrupt-before-irreversible-action mitigation not be bypassed by prompt injection?	Because the interrupt is implemented in Python code at the LangGraph orchestration layer, not in the LLM's context window. No matter what instructions the LLM generates, the Python code intercepts the tool call before execution and requires human confirmation.
What is the three-layer safety architecture for a physical agent like the JHU humanoid?	(1) High-level task planner (1–5 Hz, internet-facing, with interrupt gates for irreversible actions); (2) low-level policy (50 Hz, receives only joint/end-effector commands, no tool access, no internet); (3) hardcoded safety filters below the policy (torque limits, workspace bounds, contact force ceilings) enforced in the controller, independent of any learned behavior.
Which four OWASP LLM Top 10 items are most relevant to DealLens?	LLM01 (prompt injection — direct and indirect), LLM02 (insecure output handling — trusting LLM output without validation), LLM06 (excessive agency — actions without sufficient human oversight), LLM08 (vector and embedding weaknesses — adversarial retrieval corpus manipulation).
What is the highest-severity attack against DealLens and why?	A founder submitting a pitch deck containing injected instructions into the retrieval corpus. Severity is high because: (1) founders routinely submit materials for diligence (legitimate entry point), (2) successful injection can exfiltrate competing deal information (high business impact), (3) the attack requires no system access and is difficult to detect without a retrieval-layer classifier.
